,id,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad
1074,385,eunnho,97,540,3.835062439,-6.223727216,-5.579087834,2.79501394,-0.478451977,-6.346151166,2,0,9.19612447880598,65.35276139168505,132.5923111619918,127.34969758894132,1.1406208615551356,2.3141723926055855,2.22267152434611
1075,386,eunnho,311,219,2.137872445,-8.245331242,-3.09345789,-0.91991389,-39.82585292,2.970178197,0,2,9.062310279315911,76.35484150851592,155.48445159303853,109.9594021820193,1.3326433841620366,2.7137156159562648,1.919153611600874
1076,387,eunnho,203,185,3.464260165,-9.310601344,-4.323777976,-86.93695636,-9.627269456,-21.78734723,0,1,10.834364395913731,71.35234882098902,149.2446129049938,113.52067646241112,1.2453334159577525,2.604809886056561,1.981309573360303
1077,388,eunnho,119,198,2.575413091,-8.532636026,-5.145887263,1.01418875,-21.42239827,-27.98276764,0,0,10.291685278174459,75.50816023780077,146.0044031413796,120.00028686250032,1.3178660082730878,2.548257557226226,2.0944001090883266
1078,389,eunnho,310,575,-0.129735789,-4.968716633,-9.054571404,55.51312746,58.06078119,27.009785,2,2,10.329096749674331,90.71966685966942,118.75339829388184,151.23588641900292,1.5833568830136158,2.072637798160455,2.6395641651837773
1079,390,eunnho,92,536,2.248155651,-6.185270936,-6.047453534,6.819475591,5.400204117,-32.7955597,2,0,8.937755569981686,75.43165367782055,133.79169101465655,132.5799865755708,1.3165307169020586,2.3351055200166697,2.313957287993593
1080,391,eunnho,191,393,2.318933945,-7.16479869,-5.720944282,6.691575177,-13.66145495,-19.21461304,1,1,9.457325117983808,75.80636017437965,139.25241625962707,127.22323121841156,1.3230705789956276,2.4304131550881793,2.220464269787319
1081,392,eunnho,307,209,2.94621478,-8.762029888,-5.387552286,-24.83225751,-50.72701583,-27.37173038,0,2,10.699489189792173,74.01651190168587,144.97686648605392,120.23405761176429,1.291831833525988,2.530323659405863,2.098480178357837
1082,393,eunnho,202,568,0.852036516,-5.511901134,-8.906280538,43.18238546,30.2264421,0.6872126,2,1,10.50851337521847,85.3493189431386,121.63577988260263,147.94402832591717,1.4896266298925354,2.122944847182498,2.582110402951009
1083,394,eunnho,107,392,3.63439812,-7.432350726,-3.577984743,10.69987126,-15.59664476,-23.16685419,1,0,9.013914900312352,66.22170694496397,145.54207680083675,113.38703137800985,1.1557868224804166,2.5401884403650565,1.978977026608395
1084,395,eunnho,315,407,0.360925827,-6.10730916,-8.183679965,30.75512264,26.14656178,5.396117102,1,2,10.217735091396621,87.97569331104927,126.7065305870192,143.2189035196877,1.5354655100025616,2.2114461425223886,2.499641417514646
1085,396,eunnho,96,381,3.200449361,-7.276428343,-4.880131171,-2.62220866,-25.48653328,-31.02624017,1,0,9.327645243538418,69.93326610493413,141.26906744401148,121.54647796407758,1.220565750204451,2.4656103581199305,2.121386234675888
1086,397,eunnho,91,545,2.361431025,-6.627898383,-6.018274786,-5.674206974,-21.01197391,-33.30991051,2,0,9.258780959770563,75.22358686964198,135.71290341015091,130.5421487876875,1.312899266035227,2.368637001948174,2.2783903089734707
1087,398,eunnho,224,537,0.895580985,-7.394193137,-7.1026985,20.64128759,14.71568696,-1.617090935,2,1,10.291962078722099,85.00794995672892,135.92612102275422,133.63968273868937,1.483668617115491,2.3723583513113433,2.3324524751107623
1088,399,eunnho,215,213,3.288885185,-8.213308795,-4.078222668,9.684789894,-61.73754032,-8.96655196,0,1,9.74202788191072,70.26942599344315,147.46680280083723,114.74758979544646,1.2264328470720702,2.5737812462638052,2.0027232506583874
1089,400,eunnho,227,361,2.13817172,-7.204452071,-6.789955324,-24.76378316,-0.191525761,-25.15283073,1,1,10.12814895474291,77.81248569531981,135.3431978665253,132.0982819825871,1.35808407454432,2.3621844229490314,2.3055499568240476
1090,401,eunnho,311,213,3.560925764,-8.836549415,-5.521178081,-31.2669053,-25.17446365,-31.40774039,0,2,11.011276277642418,71.13199765438122,143.36950408713707,120.09341322796598,1.2414875625898358,2.5022698932720093,2.0960254707861177
1091,402,eunnho,107,213,4.384680481,-8.094495953,-1.013943819,77.61907569,-100.8624826,-33.11884621,0,0,9.26144533653814,61.74258166589541,150.92675341875702,96.28534560218345,1.0776113387513604,2.634168776502918,1.6804963021787436
1092,403,eunnho,312,556,-0.196174835,-5.900958904,-8.482656482,37.59145215,29.71008663,19.42855164,2,2,10.335146904819533,91.0876154204184,124.8172197796051,145.16076379795686,1.5897787968766601,2.1784714483395,2.533533272984136
1093,404,eunnho,207,395,2.873341414,-6.236297359,-6.180182673,31.34831774,-12.63472896,-12.57076168,1,1,9.238081700381704,71.87854982247275,132.45912855704967,131.98914692063138,1.254517355960935,2.3118479176429623,2.303645190663552
1094,405,eunnho,317,384,1.310975047,-6.962787341,-8.968380144,10.06891888,24.00960904,8.067258518,1,2,11.429387802377692,83.41355572881265,127.53170733967733,141.69083407448935,1.455841188263559,2.2258481937671877,2.4729715744968117
1095,406,eunnho,317,199,3.544914833,-7.907150258,-5.052662744,-50.40434404,-35.59624461,-21.87835096,0,2,10.030894635097036,69.3046044379243,142.02503286618466,120.2457620123753,1.2095935342340531,2.478804443768081,2.0986844586854714
1096,407,eunnho,87,398,3.756502405,-6.291064137,-7.158063829,-10.70008983,3.032137404,-11.31253667,1,0,10.24337229991454,68.48620901780421,127.89087148531222,134.33076992577102,1.1953098395697153,2.232116790663629,2.344514221943683
1097,408,eunnho,87,548,3.168127055,-5.830329371,-7.829038844,11.21667326,0.96204303,-21.3860719,2,0,10.262729599469582,72.01896444502451,124.61833206393047,139.71709380267865,1.2569680534424084,2.1750002028592075,2.438523308174507
1098,409,eunnho,203,561,1.353023286,-6.138433781,-7.779059885,2.530022451,24.77482587,-0.740613793,2,1,10.0012406225726,82.22486812242651,127.86239974060095,141.0604497680261,1.4350946757544705,2.23161986497463,2.4619692927961268
1099,410,eunnho,109,225,4.285770317,-8.316707795,-2.759765742,40.98570442,-40.29508691,-16.25252905,0,0,9.754576500710261,63.93694895790439,148.4950999401003,106.43456288233892,1.115910272994989,2.5917284170327846,1.85763356021776
1100,411,eunnho,216,200,2.484582481,-8.087912483,-3.86858097,-18.54262829,-63.93111705,-23.22019968,0,1,9.30340782503946,74.51051371269106,150.38312927390785,114.57122324936033,1.3004537916388434,2.6246807452819616,1.999645073738814
